id,customer_tweet_id,brand_tweet_id,conversation_id,customer_author_id,customer_created_at,customer_text,historical_brand_reply,gold_intent,annotator,annotation_notes,is_sensitive,ground_truth_decision
cand_001,89463,89461,89468.0,135361,Thu Nov 30 14:45:37 +0000 2017,"@SpotifyCares Like I say, my speaker is visible, but when I click on it, the app just goes back to the song screen and doesn't switch to the speaker... https://t.co/7k5oCPmc45","@135361 Thanks. Can you make sure you've enabled ""Control Sonos from Spotify"" in the Sonos app settings? There's more info here: https://t.co/Wgy3SqHCeq /NG",device_connectivity,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_002,83723,83722,83723,134394,Thu Nov 30 12:19:03 +0000 2017,"#feature request for @115888 

As a user
I want to see MY playlists that contain a song
when I search for it in the search bar",@134394 Nice idea! It's definitely something for the team to consider and we'll make sure it reaches them. Keep rocking /MX,feature_request_ui,Mohd Sajid Jafri,,False,ESCALATE
cand_003,153760,153759,153760,151202,Fri Nov 24 13:26:45 +0000 2017,"@115888 i have lost username, email amd password of my spotify premium account, can you help me please?","@151202 Hey there, helps here! Could you send us a DM with the first 6 and last 4 of your payment form? For security purposes, be sure you don't send the full card number. We'll take a look backstage and get back to you in a beat /ZO https://t.co/ldFdZRiNAt",account_access_security,Mohd Sajid Jafri,,True,ESCALATE
cand_004,158944,158943,158944,152541,Fri Nov 24 15:11:25 +0000 2017,"Selamat malam @118266, saya mengalami kendala di pemutar web saya yg tdk bs pause dan play lagu baru (spt di foto) dan sudah saya coba berbagai cara tp ttp tdk bisa diperbaiki kenapa ya? Bagaimana memperbaikinya? Terima kasih. https://t.co/Aixjo073mn","@152541 Hi Elmi! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /NH",other_unsupported,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_005,155345,155344,155345,151627,Fri Nov 24 15:01:58 +0000 2017,Hey @116130 I’m paying monthly for an account that I don’t use and don’t know where I’m signed in/the sign in details. Any ideas how to stop it? 🙃,"@151627 Hi Freja, helps' here! Can you DM us any email addresses or usernames you might've used to create an account. We'll take a look backstage /PK https://t.co/ldFdZRiNAt",subscription_billing,Mohd Sajid Jafri,,True,ESCALATE
cand_006,143022,143020,143022,148295,Fri Nov 24 08:34:23 +0000 2017,@SpotifyCares Hi. I'm using an Android phone (wiko Harry). I have synchronization issue. All songs that I synced are don't stay synced for more than 1day. What can I do?,"@148295 Hey Guy, sorry to hear about that! Just to check, is this happening to your downloaded albums or even to your offline playlists? /AY",app_crash_technical,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_007,172515,172514,172515,156318,Fri Nov 24 20:28:41 +0000 2017,Hey @SpotifyCares I restored my iPhone today and all my saved albums are showing like this. No tracks in there. What to do? https://t.co/n0shhoCPjU,"@156318 Hey Matt, that's not cool! Could you DM us your account’s email address and username? We’ll take a look under the hood /TI https://t.co/ldFdZRiNAt",playlist_library,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_008,33418,33417,33418,123393,Wed Nov 01 10:47:57 +0000 2017,How come I suddenly don't have Spotify premium anymore @SpotifyCares? Meer mensen last van? #spotify,@123393 Hey! We just replied to your DM with more info. We'll carry on helping out backstage /CB,subscription_billing,Mohd Sajid Jafri,,True,ESCALATE
cand_009,74905,74903,74905,132762,Thu Nov 30 09:39:47 +0000 2017,@115888 offline download limit. WHAAT. WHAAT. WHAAAAAT.,"@132762 Hey there! Right now, there's a download limit of 3,333 tracks on 3 separate devices. We have more info here: https://t.co/WpO5bMgnzC. Let us know if you have any other questions /DN",offline_downloads,Mohd Sajid Jafri,,True,AUTO_HANDLE
cand_010,97668,97667,97668,137383,Thu Nov 30 16:15:45 +0000 2017,@SpotifyCares my spotify premium hulu is saying that i dont have a subscription whats up!!,@137383 Hey there! Can you DM us your account's email address and username? We'll take a look backstage /AQ https://t.co/ldFdZRiNAt,subscription_billing,Mohd Sajid Jafri,,True,ESCALATE
cand_011,2809,2808,2809,116377,Sat Nov 25 15:48:22 +0000 2017,.@SpotifyCares any way to block this particular ad? Happy with ads/dont want premium. Just this ad is really hard to watch over and over and over. Please help. https://t.co/MsW8FjmKw1,@116377 Hey there! Thanks for taking the time to reach out – we'll pass your feedback on to our Ads team /NQ,other_unsupported,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_012,93860,93859,93860,136353,Thu Nov 30 15:41:16 +0000 2017,"@SpotifyCares got PW reset message, follow link, enter new password but then get this message. Generate new reset e-mail, same thing. Happening on Chrome and Firefox. Help? https://t.co/7AATasWWBZ","@136353 Hey Sebastian, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO https://t.co/ldFdZRiNAt",account_access_security,Mohd Sajid Jafri,,False,ESCALATE
cand_013,64359,64358,64359,130770,Thu Nov 30 08:10:10 +0000 2017,@SpotifyCares is there something wrong the app? I can’t log in as it says my password is invalid but it’s not?,"@130770 Hey Hannah, help's here. Can you send us your account's email address or username via DM? We'll take a look under the hood /AY https://t.co/ldFdZRiNAt",account_access_security,Mohd Sajid Jafri,,False,ESCALATE
cand_014,54530,54528,54530,128354,Wed Nov 01 18:17:56 +0000 2017,The past few days playing @115888 on my phone has caused it to overheat and lose about 60% battery in 30 minutes,"@128354 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",other_unsupported,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_015,45755,45753,45755,126143,Wed Nov 01 16:09:53 +0000 2017,@115888 BUT WHY https://t.co/EVCaXjR4cH,"@126143 Hi Karen! You can save up to 3,333 offline tracks on your offline device. More info at https://t.co/WSjJgGAmPy /DV",other_unsupported,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_016,173603,173601,173603,156645,Fri Nov 24 22:30:25 +0000 2017,@SpotifyCares my roommate is about to flip a table because she can’t find a song she streamed and fell in love with on Wednesday. It’s not showing up in her history. Is there any way to pull her recently played songs? I’ve never seen her so riled.,"@156645 Hey there, the calvary's here! Try heading to Your Music/Library &gt; Recently Played. Let us know how you get on /TI https://t.co/ldFdZRiNAt",playlist_library,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_017,80924,80923,80924,133960,Thu Nov 30 12:02:42 +0000 2017,"@117153 Hi, Spotify. I applied for the student discount premium, got approved via email, and was already charged on my credit card but my account's subscription is still ""free"". I tried logging out everywhere/ sign in again but still it doesnt work. What else can I do?🙂","@133960 Hey Bella, help's here! Can you DM us your account's username or email address? We'll take a look backstage /PL https://t.co/ldFdZRiNAt",subscription_billing,Mohd Sajid Jafri,,True,ESCALATE
cand_018,54535,54534,54535,128355,Wed Nov 01 18:12:21 +0000 2017,@115888 when will astros new albums be added pls and thanks,@128355 Hey there! We’ll have it available to you as soon as it’s available to us. There's more info at https://t.co/0i8GpimuDa /JE,other_unsupported,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_019,118845,118844,118845,142347,Thu Nov 23 22:38:43 +0000 2017,@SpotifyCares hey Spotify! I’m a long time user of the app and I had an idea on how to make the user experience even better... is there anyone I can talk to share my thoughts?  Thank you,"@142347 Hey, fire away! We'd love to hear about it. You can send us a DM if you want /RH https://t.co/ldFdZRiNAt",feature_request_ui,Mohd Sajid Jafri,,False,ESCALATE
cand_020,116579,116578,116580.0,141973,Thu Nov 23 21:45:30 +0000 2017,"@SpotifyCares Thank you for your quick response, but I've already chatted with a Spotify operator and he was able to solve the problem! 😉
Good service btw 👍",@141973 That's great to hear! Give us a shout if you need anything else. We'll be... https://t.co/LgAM6ky9Vv /WP,other_unsupported,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_021,2872,2871,2873.0,SpotifyCares,Tue Nov 21 00:42:55 +0000 2017,"@116385 Hey there! Don't worry, help's here. Can you let us know the iPhone model you're using along with its iOS and Spotify versions? We'll see what we can suggest /MT",@116385 We've just sent a DM your way. Let's carry on chatting there /MT,other_unsupported,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_022,181548,181547,181548,158652,Wed Oct 04 05:24:46 +0000 2017,@115888 can you PLEASE put a button on the @9743 on certain songs that send you to the lyrics 🙏🏼🙏🏼🙏🏼,"@158652 Hey, this sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /CH",feature_request_ui,Mohd Sajid Jafri,,False,ESCALATE
cand_023,22236,22235,22237.0,120859,Tue Oct 31 22:15:35 +0000 2017,@SpotifyCares @120860 This is very urgent and should be fast-tracked,"@120859 Thanks Peter! We understand it's a popular idea. Rest assured, we'll pass on your feedback about this to the right team, too /T",other_unsupported,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_024,106322,106318,106322,139557,Thu Nov 30 16:48:45 +0000 2017,@SpotifyCares why did you remove sharing songs within your platform. I used it daily. you dropping features and not the price is a bit **** dont you think?,"@139557 Hey Matthew! You can find more info on that here: https://t.co/crC4eQYWBB. We appreciate the feedback., and we'll make sure it gets passed on to the right team. If you ever need anything else, just shout and we'll come running 🏃 /AQ",other_unsupported,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_025,131816,131815,131816,145722,Fri Nov 24 05:45:40 +0000 2017,i pay for spotify premium yet it takes ages to load??? fix this @115888,"@145722 Hi, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",app_crash_technical,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_026,118884,118882,118884,142359,Thu Nov 23 22:20:19 +0000 2017,"@115888 I was listening to Spotify today, tried now and it's logged me out and won't let me sign back in. Tried to reset password but doesn't recognise my username/email. What's going on???","@142359 Hey, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /JM https://t.co/ldFdZRiNAt",app_crash_technical,Mohd Sajid Jafri,,False,ESCALATE
cand_027,158948,158947,158948,152543,Fri Nov 24 15:56:57 +0000 2017,"@SpotifyCares, I'm having issues with my student premium with hulu...any help?","@152543 Hey Dennis, we're here to help! Can you DM us your account's username/email address? If you can also let us know what's happening exactly, that would be great /JP https://t.co/ldFdZRiNAt",subscription_billing,Mohd Sajid Jafri,,False,ESCALATE
cand_028,9356,9353,9356,117670,Wed Nov 01 00:01:07 +0000 2017,"@SpotifyCares 
Help on my spotify card please",@117670 Hey Eva! We've just sent you a DM. Let's continue chatting there /NS,other_unsupported,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_029,50732,50731,50732,127379,Wed Nov 22 21:23:06 +0000 2017,Hey @SpotifyCares I can’t found new single “Falsa Fada” by @29753 on @115888 https://t.co/CX20P97pmn,@127379 @2852 @2853 Hey there. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /JX,other_unsupported,Mohd Sajid Jafri,,False,AUTO_HANDLE
cand_030,189347,189346,189347,160411,Wed Oct 04 23:33:27 +0000 2017,@SpotifyCares need some help figuring out the family plan. Setting up one for my mom but the account isnt working.,@160411 Hey there! Can you DM us the email address on your mom's account? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,subscription_billing,Mohd Sajid Jafri,,True,ESCALATE
cand_031,118853,118852,118853,142350,Thu Nov 23 21:41:47 +0000 2017,"@SpotifyCares hey! Thinking about premium but want to know if album art will show in my car. Will be from downloaded music, not streamed. This is important as it's a deal breaker!!","@142350 Hi Emma! We're happy to hear you're interested in joining Spotify Premium. If you'd like to know more about using Spotify in your car, just head here: https://t.co/f7b6YMFv9v. Let us know if you need anything else /AP",subscription_billing,Mohd Sajid Jafri,,False,ESCALATE
