queue_id,query_id,query_customer_text,query_silver_intent,retrieved_rank,candidate_customer_tweet_id,candidate_intent,candidate_similarity,candidate_historical_customer,candidate_brand_reply,human_relevance_label,annotator,annotation_notes,status
ret_eval_01_rank1,silver_001,no offence @115888 but removing the message feature was your worst mistake x,other_unsupported,1,89548,other_unsupported,0.4297,@SpotifyCares I got chat and got it taken care of easily. Thanks for the support.,@135369 Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /PB,,,,PENDING_HUMAN_ANNOTATION
ret_eval_01_rank2,silver_001,no offence @115888 but removing the message feature was your worst mistake x,other_unsupported,2,38314,offline_downloads,0.415,thanks @115888 for removing the download from all of my music randomly &amp; ruining my day :-),"@124330 1: Hey Tina, sorry to hear that! Check out the steps under “Downloads unexpectedly removed”...",,,,PENDING_HUMAN_ANNOTATION
ret_eval_01_rank3,silver_001,no offence @115888 but removing the message feature was your worst mistake x,other_unsupported,3,38314,offline_downloads,0.415,thanks @115888 for removing the download from all of my music randomly &amp; ruining my day :-),@124330 2: at https://t.co/38J7tFlIBF. They should help with this /SY,,,,PENDING_HUMAN_ANNOTATION
ret_eval_02_rank1,silver_002,@SpotifyCares Same thing appeared on incognito,other_unsupported,1,102212,other_unsupported,0.5404,@SpotifyCares I already tried a different browser and now I just tried incognito. No difference. Still frozen.,@138416 Got it. Can you try restarting your device and see if that helps at all? Keep us posted /AG,,,,PENDING_HUMAN_ANNOTATION
ret_eval_02_rank2,silver_002,@SpotifyCares Same thing appeared on incognito,other_unsupported,2,61172,playback_issues,0.5105,"@SpotifyCares So no, I haven't logged into the web player with incognito or private browsing",@130006 Gotcha. Try giving it another go using an incognito window of your browser to avoid any cache-related issues. Let us know how it goes /SY,,,,PENDING_HUMAN_ANNOTATION
ret_eval_02_rank3,silver_002,@SpotifyCares Same thing appeared on incognito,other_unsupported,3,166653,account_access_security,0.4933,"Weird activity on my @115888 so I go to change my password, if I access my account it shows me my DOB among other things - why show me my DOB, I know it, I don’t need anyone else to know it, useless element to my profile page #security #cybercrime #cyberaware",@138145 Hey Dan! We’re sorry to hear that. We'd suggest to check out https://t.co/QHn3ok8y2n for what to do next. Let us know if we can help with anything else 🙂 /GN,,,,PENDING_HUMAN_ANNOTATION
ret_eval_03_rank1,silver_003,@115888 when is @118062 reputation album going to be on spotify?!,playlist_library,1,49106,other_unsupported,0.7561,i so badly wanna listen to reputation. it needs to be released on spotify already,"@126966 Hey there! We’ll have it available to you as soon as it’s available to us! For now, check out the singles: https://t.co/3h0TnPWP0c /NG",,,,PENDING_HUMAN_ANNOTATION
ret_eval_03_rank2,silver_003,@115888 when is @118062 reputation album going to be on spotify?!,playlist_library,2,147418,other_unsupported,0.7556,@SpotifyCares any news for when #reputation  will be out on Spotify #taylorswift,"@149507 Hi Ginger. Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /DR",,,,PENDING_HUMAN_ANNOTATION
ret_eval_03_rank3,silver_003,@115888 when is @118062 reputation album going to be on spotify?!,playlist_library,3,111980,other_unsupported,0.7508,@116380 @115888 @SpotifyCares  @118062 When Can I Start Streaming #Reputation On Spotify? This Is Getting Ridiculous It's Been Out For Nearly 3 Weeks Now.,"@140870 Hey Alex! We hear you loud and clear. We’ll have it available to you as soon as it’s available to us. For now, check out the singles: https://t.co/3h0TnPWP0c 🙂 /JI",,,,PENDING_HUMAN_ANNOTATION
ret_eval_04_rank1,silver_004,I don't know what it is. After my fb was locked out my spotify username on my laptop changed to a number,account_access_security,1,128196,other_unsupported,0.7055,@SpotifyCares why is my new spotify account username just random numbers? Can I fix this?,@144801 Hey there! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
ret_eval_04_rank2,silver_004,I don't know what it is. After my fb was locked out my spotify username on my laptop changed to a number,account_access_security,2,50894,other_unsupported,0.6606,"uhh so somehow i can’t even log into my spotify, but my failed log in attempt reactivated my facebook account? honestly what the fuck https://t.co/cNFUXpcJAF",@127424 Hey! Can you DM us your account's email address? We'll take a look backstage /K https://t.co/ldFdZRiNAt,,,,PENDING_HUMAN_ANNOTATION
